shop_id,shop_url,shop_name,approval_status,note
2657103,https://www.aliexpress.com/store/2657103,QianBei Official Store,WHITELIST,
1104409165,https://www.aliexpress.com/store/1104409165,Perfect Encounter Store,PENDING,
1102552051,https://www.aliexpress.com/store/1102552051,S925 Silver Fashion Jewelry Store,WHITELIST,
911787038,https://www.aliexpress.com/store/911787038,S925 World Store,PENDING,
4434176,https://www.aliexpress.com/store/4434176,kuololit Official Store,PENDING,
912242278,https://www.aliexpress.com/store/912242278,WUIHA WUIHA Jewellry Official Store,PENDING,
1102176857,https://www.aliexpress.com/store/1102176857,Holycome Jewelry Official Store,PENDING,
218580,https://www.aliexpress.com/store/218580,Bling Jewelry,WHITELIST,
1971831,https://www.aliexpress.com/store/1971831,FLOVE Store,PENDING,
4834092,https://www.aliexpress.com/store/4834092,VoJefen Jewellery Store,PENDING,
4663027,https://www.aliexpress.com/store/4663027,Wong Rain Official Store,BLACKLIST,
5071194,https://www.aliexpress.com/store/5071194,ICEOUTBOX Official Store,PENDING,
2800054,https://www.aliexpress.com/store/2800054,Chic Charm Boutique Store,PENDING,
2807128,https://www.aliexpress.com/store/2807128,windshow Silver Chain Jewellery Store,BLACKLIST,
1104572098,https://www.aliexpress.com/store/1104572098,"Yiwu Yiqiu Jewelry Co., Ltd Store",PENDING,
4392054,https://www.aliexpress.com/store/4392054,MeibaPJ 925 Factory Store,WHITELIST,
1103076012,https://www.aliexpress.com/store/1103076012,KALEN Store,PENDING,
1100344487,https://www.aliexpress.com/store/1100344487,UWIN Official Store,PENDING,
5012097,https://www.aliexpress.com/store/5012097,Xifulee'2Acc Store Store,PENDING,
314027,https://www.aliexpress.com/store/314027,Bahamut Mall,PENDING,
910368273,https://www.aliexpress.com/store/910368273,HAZME Store,PENDING,
4650063,https://www.aliexpress.com/store/4650063,TSROUND JW Store,PENDING,
1103466175,https://www.aliexpress.com/store/1103466175,Raprgold Official Store,PENDING,
5965015,https://www.aliexpress.com/store/5965015,szjinao Factory Store,PENDING,
3328006,https://www.aliexpress.com/store/3328006,Rinntin Official Store,PENDING,
805864,https://www.aliexpress.com/store/805864,ENFASHION Official Store,PENDING,
3883019,https://www.aliexpress.com/store/3883019,OriginaIngenu Official Store,PENDING,
912548024,https://www.aliexpress.com/store/912548024,Serenity Day Official Store,PENDING,
431252,https://www.aliexpress.com/store/431252,GQTorch Official Store,PENDING,
912360045,https://www.aliexpress.com/store/912360045,Realytrust Official Store,PENDING,
1102278098,https://www.aliexpress.com/store/1102278098,HMJ Holycome HMJ Official Store,PENDING,
1104929546,https://www.aliexpress.com/store/1104929546,MIAO CAVADOR Store,PENDING,
1104839015,https://www.aliexpress.com/store/1104839015,Nepturn Jewelry Store,PENDING,
912621912,https://www.aliexpress.com/store/912621912,Fugetsu Accessories Store,PENDING,
5870086,https://www.aliexpress.com/store/5870086,Stone Beads Handmade Store,PENDING,
5592012,https://www.aliexpress.com/store/5592012,CoLifeLove Luxury-Jewelry Store,PENDING,
1104160231,https://www.aliexpress.com/store/1104160231,INSNI Moissanite Jewelry Store,PENDING,
833930,https://www.aliexpress.com/store/833930,925 Jewellery Store,PENDING,
1103204631,https://www.aliexpress.com/store/1103204631,Fashion Fusion Store,PENDING,
4505096,https://www.aliexpress.com/store/4505096,Colorful Scarf Store,PENDING,
1103150131,https://www.aliexpress.com/store/1103150131,HHIOK Jewelry Store,PENDING,
911807600,https://www.aliexpress.com/store/911807600,SMYOUE Official Store,PENDING,
1104425070,https://www.aliexpress.com/store/1104425070,WSHUO Official Store,PENDING,
912400727,https://www.aliexpress.com/store/912400727,ptx Moissanite Wholesale Store,PENDING,
118861,https://www.aliexpress.com/store/118861,GODKI Official Store,PENDING,
1103680262,https://www.aliexpress.com/store/1103680262,Magic Fish Stellar Fantasy Store,PENDING,
1103985131,https://www.aliexpress.com/store/1103985131,YAJUNIEL JEWELRY Store,PENDING,
1064054,https://www.aliexpress.com/store/1064054,"BONZER JEWELRY Co,LTD",PENDING,
910905041,https://www.aliexpress.com/store/910905041,luomansi Couple Store,PENDING,
523199,https://www.aliexpress.com/store/523199,Deeplove Jewelry Store,PENDING,
4305044,https://www.aliexpress.com/store/4305044,bolaijewelry Store,PENDING,
4915030,https://www.aliexpress.com/store/4915030,GOLDtutu Official Store,PENDING,
4574065,https://www.aliexpress.com/store/4574065,ACECHANNEL Official Store,PENDING,
2136195,https://www.aliexpress.com/store/2136195,ATTAGEMS Official Store,PENDING,
830917,https://www.aliexpress.com/store/830917,CoLife Jewelry,PENDING,
5040243,https://www.aliexpress.com/store/5040243,BOEYCJR Official Store,PENDING,
3252067,https://www.aliexpress.com/store/3252067,AEAW jewelry Official Store,PENDING,
912589106,https://www.aliexpress.com/store/912589106,A+Factory Outlet Premium 925 Silver Store,PENDING,
